c_RegimenFiscal,Descripción,Descripción,Física,Moral
601,General de Ley Personas Morales,General Regime for Legal Entities,No,Sí
603,Personas Morales con Fines no Lucrativos,Non-Profit Legal Entities,No,Sí
605,Sueldos y Salarios e Ingresos Asimilados a Salarios,"Wages, Salaries, and Similar Income",Sí,No
606,Arrendamiento,Leasing,Sí,No
607,Régimen de Enajenación o Adquisición de Bienes,Asset Transfer or Acquisition Regime,Sí,No
608,Demás ingresos,Other Income,Sí,No
610,Residentes en el Extranjero sin Establecimiento Permanente en México,Foreign Residents without a Permanent Establishment in Mexico,Sí,Sí
611,Ingresos por Dividendos (socios y accionistas),Dividend Income (Partners and Shareholders),Sí,No
612,Personas Físicas con Actividades Empresariales y Profesionales,Individuals with Business and Professional Activities,Sí,No
614,Ingresos por intereses,Interest Income,Sí,No
615,Régimen de los ingresos por obtención de premios,Prize Income Regime,Sí,No
616,Sin obligaciones fiscales,No Tax Obligations,Sí,No
620,Sociedades Cooperativas de Producción que optan por diferir sus ingresos,Production Cooperative Societies Opting to Defer Income,No,Sí
621,Incorporación Fiscal,Tax Incorporation Regime,Sí,No
622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras","Agricultural, Livestock, Forestry, and Fishing Activities",No,Sí
623,Opcional para Grupos de Sociedades,Optional Regime for Groups of Companies,No,Sí
624,Coordinados,Coordinated Regime,No,Sí
625,Régimen de las Actividades Empresariales con ingresos a través de Plataformas Tecnológicas,Business Activities Regime with Income,Sí,No
626,Régimen Simplificado de Confianza (RESICO),Simplified Trust Regime (RESICO),Sí,Sí
